damping,step,time,joint_name,limit_side,overshoot_rad
0.0003,1489,2.978,joint4,upper,0.572832
0.0003,1498,2.996,joint4,upper,0.670886
0.0003,1499,2.998,joint4,upper,0.118056
0.0003,1503,3.006,joint4,upper,0.0135685
0.0003,1504,3.008,joint4,upper,0.300891
0.0003,1511,3.022,joint4,upper,0.268806
0.0003,1512,3.024,joint4,upper,0.227236
0.0003,1513,3.026,joint4,upper,0.102731
0.0003,1514,3.028,joint4,upper,0.137099
0.0003,1515,3.03,joint4,upper,0.264209
0.0005,1489,2.978,joint4,upper,0.182668
0.0005,1499,2.998,joint4,upper,0.256691
0.0005,1500,3.0,joint4,upper,0.0217807
0.0005,1506,3.012,joint4,upper,0.199109
0.0005,1515,3.03,joint4,upper,0.0150446
0.0005,1860,3.72,joint4,upper,0.000877978
0.0005,1861,3.722,joint4,upper,0.00196865
0.0005,1862,3.724,joint4,upper,0.00306223
0.0005,1863,3.726,joint4,upper,0.00415912
0.0005,1864,3.728,joint4,upper,0.00525952
0.0005,1865,3.73,joint4,upper,0.00636357
0.0005,1866,3.732,joint4,upper,0.00747134
0.0005,1867,3.734,joint4,upper,0.00858289
0.0005,1868,3.736,joint4,upper,0.00969825
0.0005,1869,3.738,joint4,upper,0.0108174
0.0005,1870,3.74,joint4,upper,0.0119405
0.0005,1871,3.742,joint4,upper,0.0130674
0.0005,1872,3.744,joint4,upper,0.0141981
0.0005,1873,3.746,joint4,upper,0.0153327
0.0005,1874,3.748,joint4,upper,0.016471
0.0005,1875,3.75,joint4,upper,0.0176132
0.0005,1876,3.752,joint4,upper,0.0187592
0.0005,1877,3.754,joint4,upper,0.019909
0.0005,1878,3.756,joint4,upper,0.0210625
0.0005,1879,3.758,joint4,upper,0.0222199
0.0005,1880,3.76,joint4,upper,0.0233809
0.0005,1881,3.762,joint4,upper,0.0245458
0.0005,1882,3.764,joint4,upper,0.0257143
0.0005,1883,3.766,joint4,upper,0.0268867
0.0005,1884,3.768,joint4,upper,0.0280628
0.0005,1885,3.77,joint4,upper,0.0292426
0.0005,1886,3.772,joint4,upper,0.0304262
0.0005,1887,3.774,joint4,upper,0.0316136
0.0005,1888,3.776,joint4,upper,0.0328048
0.0005,1889,3.778,joint4,upper,0.0339998
0.0005,1890,3.78,joint4,upper,0.0351987
0.0005,1891,3.782,joint4,upper,0.0364013
0.0005,1892,3.784,joint4,upper,0.0376079
0.0005,1893,3.786,joint4,upper,0.0388183
0.0005,1894,3.788,joint4,upper,0.0400326
0.0005,1895,3.79,joint4,upper,0.0412508
0.0005,1896,3.792,joint4,upper,0.042473
0.0005,1897,3.794,joint4,upper,0.0436992
0.0005,1898,3.796,joint4,upper,0.0449294
0.0005,1899,3.798,joint4,upper,0.0461637
0.0005,1900,3.8,joint4,upper,0.047402
