damping,end_state,max_distance_from_home,final_position_error,rms_position_error,rms_orientation_error,peak_dq,clipped_steps,peak_condition_number,diverged
1e-06,healthy,1.39989,0.00656638,0.014519,0.0254118,10.6487,12,40568.5,0
1e-05,healthy,1.39989,0.00656637,0.014519,0.0254117,10.1669,12,40471.5,0
0.0001,healthy,1.39985,0.00656626,0.0145123,0.0253982,2.17913,12,32681.1,0
0.0003,healthy,1.39866,0.00656624,0.0136394,0.0240852,1.07056,10,12978.8,0
0.0005,collapse,2.67327,0.430141,0.175802,0.685532,3.07099,1145,128652.0,0
0.001,collapse,2.67284,0.430174,0.175722,0.685256,3.06781,1140,693352.0,0
0.003,collapse,2.67335,0.43014,0.175377,0.684549,3.06198,1140,1572330.0,0
0.005,collapse,2.67344,0.430132,0.17483,0.682986,3.05115,1140,1572210.0,0
0.007,healthy,1.36167,0.0065657,0.00886925,0.0150179,0.0995825,0,2279.73,0
0.01,healthy,1.34063,0.00656517,0.00888457,0.0150183,0.0773766,0,580.4,0
0.1,healthy,1.07819,0.00641797,0.0120205,0.015079,0.0588906,0,56.6736,0
