damping,nullspace_gain,step,time,joint1,joint2,joint3,joint4,joint5,joint6,joint7,position_error,condition_number,distance_from_home,any_clipped
0.0003,0.0,0,0.0,0.0,0.0,0.0,-1.57079,0.0,1.57079,-0.7853,6.84228e-49,12.6544,0.0,0
0.0003,0.0,1,0.002,2.34792e-07,1.93581e-05,2.85715e-07,-1.57083,-2.50888e-06,1.57079,-0.7853,2.81556e-05,12.654,4.10469e-05,0
0.0003,0.0,2,0.004,6.18161e-07,5.83121e-05,7.60395e-07,-1.57088,-6.21052e-06,1.57078,-0.7853,7.75882e-05,12.6534,0.000110586,0
0.0003,0.0,3,0.006,1.07896e-06,0.000114314,1.33796e-06,-1.57095,-1.05627e-05,1.57076,-0.7853,0.000143485,12.6526,0.000201752,0
0.0003,0.0,4,0.008,1.56529e-06,0.000184337,1.95341e-06,-1.57103,-1.53229e-05,1.57075,-0.7853,0.000222215,12.6517,0.000309755,0
0.0003,0.0,5,0.01,2.04144e-06,0.000265566,2.56116e-06,-1.57112,-2.03625e-05,1.57073,-0.7853,0.000310914,12.6508,0.000430872,0
0.0003,0.0,6,0.012,2.48423e-06,0.000355582,3.13113e-06,-1.57122,-2.55995e-05,1.57071,-0.7853,0.000407278,12.6497,0.000562089,0
0.0003,0.0,7,0.014,2.87977e-06,0.000452363,3.64493e-06,-1.57132,-3.09746e-05,1.5707,-0.7853,0.000509438,12.6487,0.000700943,0
0.0003,0.0,8,0.016,3.22084e-06,0.000554243,4.09269e-06,-1.57142,-3.64415e-05,1.57068,-0.7853,0.000615873,12.6476,0.000845413,0
0.0003,0.0,9,0.018,3.50491e-06,0.00065986,4.47056e-06,-1.57152,-4.1963e-05,1.57066,-0.7853,0.000725344,12.6465,0.000993845,0
0.0003,0.0,10,0.02,3.73265e-06,0.000768106,4.77882e-06,-1.57162,-4.75089e-05,1.57064,-0.7853,0.000836844,12.6454,0.00114489,0
0.0003,0.0,11,0.022,3.90682e-06,0.000878079,5.02043e-06,-1.57173,-5.30547e-05,1.57062,-0.7853,0.000949554,12.6443,0.00129744,0
0.0003,0.0,12,0.024,4.0314e-06,0.000989052,5.20005e-06,-1.57183,-5.85804e-05,1.5706,-0.7853,0.00106281,12.6432,0.00145061,0
0.0003,0.0,13,0.026,4.11108e-06,0.00110044,5.32326e-06,-1.57194,-6.40697e-05,1.57058,-0.7853,0.00117609,12.642,0.00160367,0
0.0003,0.0,14,0.028,4.15083e-06,0.00121177,5.39603e-06,-1.57204,-6.95097e-05,1.57056,-0.7853,0.00128895,12.6409,0.00175604,0
0.0003,0.0,15,0.03,4.15559e-06,0.00132266,5.4244e-06,-1.57214,-7.48899e-05,1.57054,-0.7853,0.00140105,12.6399,0.00190726,0
