peak_radius,damping,nullspace_gain,rms_position_error,rms_orientation_error,final_position_error,peak_dq,clipped_steps,peak_condition_number,max_distance_from_home,diverged,final_joint1,final_joint2,final_joint3,final_joint4,final_joint5,final_joint6,final_joint7
0.66,0.0001,0.0,0.00783497,0.0146311,0.00661306,0.0299707,0,20.8208,0.56419,0,-0.0002857,0.00782969,0.000285409,-1.57524,-0.00033523,1.56902,-0.785301
0.66,0.0001,2.0,0.00783501,0.0146312,0.00661309,0.0299706,0,20.8208,0.564188,0,9.8904e-07,0.00782975,-1.53802e-06,-1.57524,-0.000334864,1.56902,-0.785302
0.66,0.0001,5.0,0.00783504,0.0146311,0.00661309,0.0299706,0,20.8207,0.564186,0,9.99746e-07,0.00782975,-1.54889e-06,-1.57524,-0.000334864,1.56902,-0.785302
0.66,0.0003,0.0,0.00783498,0.0146311,0.00661306,0.0299707,0,20.8208,0.56419,0,-0.0002857,0.0078297,0.000285409,-1.57524,-0.00033523,1.56902,-0.785301
0.66,0.0003,2.0,0.00783518,0.0146311,0.00661309,0.0299702,0,20.8205,0.564178,0,9.8903e-07,0.00782973,-1.53803e-06,-1.57524,-0.000334864,1.56902,-0.785302
0.66,0.0003,5.0,0.00783547,0.0146309,0.00661309,0.0299695,0,20.82,0.564159,0,9.99715e-07,0.0078297,-1.5489e-06,-1.57524,-0.000334863,1.56902,-0.785302
0.66,0.0005,0.0,0.00783499,0.0146311,0.00661306,0.0299707,0,20.8208,0.56419,0,-0.0002857,0.00782972,0.000285409,-1.57524,-0.00033523,1.56902,-0.785301
0.66,0.0005,2.0,0.00783554,0.0146308,0.00661309,0.0299694,0,20.82,0.564156,0,9.89009e-07,0.0078297,-1.53803e-06,-1.57524,-0.000334864,1.56902,-0.785302
0.66,0.0005,5.0,0.00783634,0.0146303,0.0066131,0.0299675,0,20.8187,0.564105,0,9.99652e-07,0.0078296,-1.54893e-06,-1.57524,-0.000334863,1.56902,-0.785302
0.66,0.001,0.0,0.00783504,0.0146311,0.00661306,0.0299706,0,20.8208,0.564189,0,-0.0002857,0.00782978,0.000285409,-1.57524,-0.000335231,1.56902,-0.785301
0.66,0.001,2.0,0.0078372,0.0146298,0.00661311,0.0299655,0,20.8174,0.564054,0,9.88912e-07,0.00782956,-1.53807e-06,-1.57524,-0.000334863,1.56902,-0.785302
