damping,nullspace_gain,rms_position_error,rms_orientation_error,final_position_error,peak_dq,clipped_steps,peak_condition_number,max_distance_from_home,diverged
0.0001,0.0,0.0145123,0.0253982,0.00656626,2.17913,12,32681.1,1.39985,0
0.0001,0.5,0.0144867,0.0252291,0.00656625,2.2229,11,17946.5,1.39905,0
0.0001,1.0,0.0136231,0.024068,0.00656625,2.56554,10,12474.5,1.3986,0
0.0001,2.0,0.175896,0.685391,0.4302,3.07099,1147,9252.35,2.67252,0
0.0001,5.0,0.0120726,0.0219523,0.00656625,6.9986,8,57303.3,1.39933,0
0.0001,10.0,0.0110564,0.0196338,0.00656626,11.6307,5,172014.0,1.39226,0
0.0003,0.0,0.0136394,0.0240852,0.00656624,1.07056,10,12978.8,1.39866,0
0.0003,0.5,0.0114997,0.0208098,0.00656625,1.33031,5,926332.0,1.39469,0
0.0003,1.0,0.011049,0.0196414,0.00656625,1.42604,3,486237.0,1.39215,0
0.0003,2.0,0.01065,0.0192863,0.00656626,2.40957,2,98861.5,1.388,0
0.0003,5.0,0.00911313,0.0155672,0.00656626,0.823559,0,4538.99,1.36791,0
0.0003,10.0,0.00887242,0.0150227,0.00656627,0.122432,0,1273.03,1.35615,0
0.0005,0.0,0.175802,0.685532,0.430141,3.07099,1145,128652.0,2.67327,0
0.0005,0.5,0.0104939,0.0184768,0.00656625,0.97029,2,71815.7,1.38871,0
0.0005,1.0,0.00982375,0.0171439,0.00656626,1.40833,0,203900.0,1.37853,0
0.0005,2.0,0.00891162,0.0151615,0.00656626,0.192015,0,2798.53,1.36389,0
0.0005,5.0,0.00886229,0.0149956,0.00656628,0.0954956,0,917.566,1.35084,0
0.0005,10.0,0.00887063,0.0150053,0.0065663,0.0698238,0,459.277,1.33327,0
0.001,0.0,0.175722,0.685256,0.430174,3.06781,1140,693352.0,2.67284,0
0.001,0.5,0.0088754,0.0150356,0.00656625,0.163886,0,2296.41,1.36212,0
0.001,1.0,0.00885925,0.0149931,0.00656627,0.106145,0,1146.36,1.35433,0
0.001,2.0,0.00886846,0.0150069,0.00656629,0.0741779,0,566.915,1.34005,0
0.001,5.0,0.00888255,0.0149976,0.00656635,0.06361,0,260.239,1.30593,0
0.001,10.0,0.00890524,0.0149831,0.00656646,0.0615146,0,172.02,1.27355,0
0.003,0.0,0.175377,0.684549,0.43014,3.06198,1140,1572330.0,2.67335,0
0.003,0.5,0.00888225,0.0149993,0.00656626,0.0636359,0,274.317,1.30916,0
0.003,1.0,0.00890277,0.014986,0.00656636,0.061649,0,180.609,1.27809,0
0.003,2.0,0.00894196,0.0149618,0.00656655,0.0600602,0,129.552,1.2422,0
0.003,5.0,0.00905463,0.0148983,0.00656712,0.057804,0,89.5941,1.18548,0
0.003,10.0,0.00923877,0.014807,0.00656807,0.0557529,0,69.877,1.13346,0
0.005,0.0,0.17483,0.682986,0.430132,3.05115,1140,1572210.0,2.67344,0
0.005,0.5,0.00892215,0.0149765,0.00656627,0.0607218,0,151.767,1.26079,0
0.005,1.0,0.00897532,0.0149444,0.00656654,0.0592026,0,112.384,1.22279,0
0.005,2.0,0.00907863,0.0148876,0.00656707,0.0574627,0,86.0636,1.17792,0
0.005,5.0,0.00938447,0.0147429,0.00656864,0.054608,0,62.4781,1.10542,0
0.005,10.0,0.00989274,0.014542,0.00657119,0.0518813,0,49.8817,1.03838,0
0.01,0.0,0.00888457,0.0150183,0.00656517,0.0773766,0,580.4,1.34063,0
0.01,0.5,0.00909488,0.0148879,0.00656632,0.0572242,0,85.6032,1.17689,0
0.01,1.0,0.0092972,0.0147884,0.00656738,0.0552277,0,67.2351,1.12416,0
0.01,2.0,0.00970222,0.0146184,0.00656947,0.0527318,0,53.5192,1.061,0
0.01,5.0,0.0108986,0.0142111,0.00657536,0.0485045,0,40.2926,0.958939,0
0.01,10.0,0.012751,0.013687,0.00658409,0.0445017,0,32.932,0.866118,0
