damping,rms_position_error,rms_orientation_error,peak_dq,clipped_steps,peak_condition_number
1e-06,0.014519025758001984,0.025411805469453434,10.6487,12,40568.5
1e-05,0.014519008791566385,0.025411691367484116,10.1669,12,40471.5
0.0001,0.014512305399110317,0.02539819241907601,2.17913,12,32681.1
0.0003,0.013639437303508813,0.02408519725694436,1.07056,10,12978.8
0.0005,0.17580227112508642,0.6855318749373746,3.07099,1145,128652.0
0.001,0.17572228887546779,0.6852556014309911,3.06781,1140,693352.0
0.003,0.175376811567896,0.6845489922737517,3.06198,1140,1572330.0
0.005,0.17482990667569007,0.6829856004879672,3.05115,1140,1572210.0
0.007,0.008869253331447923,0.01501790456061804,0.0995825,0,2279.73
0.01,0.008884565090448725,0.015018283269536137,0.0773766,0,580.4
0.1,0.012020485185913119,0.01507897900848221,0.0588906,0,56.6736
