method,damping,step,time,position_error,orientation_error,max_dq,condition_number,clipped
dls,0.0001,0,0.0,6.84228e-49,2.46519e-32,2.46519e-32,12.6544,0
dls,0.0001,1,0.002,2.81556e-05,6.01251e-05,3.63835e-05,12.654,0
dls,0.0001,2,0.004,7.75882e-05,0.000165633,9.50702e-05,12.6534,0
dls,0.0001,3,0.006,0.000143485,0.000305564,0.000169123,12.6526,0
dls,0.0001,4,0.008,0.000222215,0.000471859,0.000254555,12.6517,0
dls,0.0001,5,0.01,0.000310914,0.000658379,0.000348687,12.6508,0
dls,0.0001,6,0.012,0.000407278,0.000860304,0.000449537,12.6497,0
dls,0.0001,7,0.014,0.000509438,0.00107378,0.000555561,12.6487,0
dls,0.0001,8,0.016,0.000615873,0.00129569,0.000665527,12.6476,0
dls,0.0001,9,0.018,0.000725344,0.00152352,0.00077844,12.6465,0
dls,0.0001,10,0.02,0.000836843,0.00175522,0.000893496,12.6454,0
dls,0.0001,11,0.022,0.000949554,0.00198913,0.00101004,12.6443,0
dls,0.0001,12,0.024,0.00106281,0.00222391,0.00112755,12.6432,0
dls,0.0001,13,0.026,0.00117609,0.00245847,0.00124559,12.642,0
dls,0.0001,14,0.028,0.00128895,0.00269194,0.00136383,12.6409,0
dls,0.0001,15,0.03,0.00140105,0.00292365,0.00148198,12.6399,0
dls,0.0001,16,0.032,0.00151212,0.00315302,0.00159982,12.6388,0
dls,0.0001,17,0.034,0.00162194,0.00337962,0.00171719,12.6377,0
dls,0.0001,18,0.036,0.00173034,0.00360313,0.00183394,12.6367,0
dls,0.0001,19,0.038,0.0018372,0.00382327,0.00194997,12.6357,0
dls,0.0001,20,0.04,0.00194241,0.00403985,0.00206519,12.6347,0
dls,0.0001,21,0.042,0.00204591,0.00425273,0.00217954,12.6337,0
dls,0.0001,22,0.044,0.00214763,0.00446181,0.00229298,12.6328,0
dls,0.0001,23,0.046,0.00224756,0.00466702,0.00240547,12.6319,0
dls,0.0001,24,0.048,0.00234566,0.00486831,0.00251699,12.631,0
dls,0.0001,25,0.05,0.00244192,0.00506568,0.00262753,12.6301,0
dls,0.0001,26,0.052,0.00253636,0.00525913,0.00273708,12.6293,0
dls,0.0001,27,0.054,0.00262896,0.00544867,0.00284564,12.6284,0
dls,0.0001,28,0.056,0.00271976,0.00563434,0.00295322,12.6276,0
dls,0.0001,29,0.058,0.00280875,0.00581616,0.00305982,12.6268,0
dls,0.0001,30,0.06,0.00289597,0.0059942,0.00316545,12.6261,0
dls,0.0001,31,0.062,0.00298144,0.00616849,0.00327012,12.6254,0
dls,0.0001,32,0.064,0.00306519,0.0063391,0.00337386,12.6246,0
dls,0.0001,33,0.066,0.00314724,0.00650608,0.00347667,12.624,0
dls,0.0001,34,0.068,0.00322762,0.0066695,0.00357857,12.6233,0
dls,0.0001,35,0.07,0.00330636,0.00682941,0.00367958,12.6226,0
dls,0.0001,36,0.072,0.00338349,0.0069859,0.00377972,12.622,0
dls,0.0001,37,0.074,0.00345905,0.00713901,0.003879,12.6214,0
dls,0.0001,38,0.076,0.00353307,0.00728881,0.00397744,12.6209,0
dls,0.0001,39,0.078,0.00360557,0.00743538,0.00407506,12.6203,0
dls,0.0001,40,0.08,0.00367658,0.00757877,0.00417188,12.6198,0
dls,0.0001,41,0.082,0.00374615,0.00771905,0.00426791,12.6193,0
dls,0.0001,42,0.084,0.00381429,0.00785629,0.00436318,12.6188,0
dls,0.0001,43,0.086,0.00388104,0.00799055,0.0044577,12.6183,0
dls,0.0001,44,0.088,0.00394643,0.00812189,0.00455148,12.6179,0
dls,0.0001,45,0.09,0.00401049,0.00825037,0.00464455,12.6174,0
dls,0.0001,46,0.092,0.00407324,0.00837606,0.00473692,12.617,0
dls,0.0001,47,0.094,0.00413472,0.00849901,0.00482861,12.6166,0
dls,0.0001,48,0.096,0.00419495,0.00861928,0.00491963,12.6163,0
dls,0.0001,49,0.098,0.00425396,0.00873693,0.00500999,12.6159,0
dls,0.0001,50,0.1,0.00431178,0.00885202,0.00509972,12.6156,0
dls,0.0001,51,0.102,0.00436843,0.0089646,0.00518883,12.6153,0
dls,0.0001,52,0.104,0.00442394,0.00907473,0.00527733,12.615,0
dls,0.0001,53,0.106,0.00447834,0.00918245,0.00536524,12.6148,0
dls,0.0001,54,0.108,0.00453164,0.00928783,0.00545257,12.6145,0
dls,0.0001,55,0.11,0.00458388,0.00939091,0.00553933,12.6143,0
dls,0.0001,56,0.112,0.00463508,0.00949174,0.00562553,12.6141,0
dls,0.0001,57,0.114,0.00468526,0.00959037,0.0057112,12.6139,0
dls,0.0001,58,0.116,0.00473443,0.00968685,0.00579634,12.6137,0
dls,0.0001,59,0.118,0.00478264,0.00978123,0.00588096,12.6136,0
dls,0.0001,60,0.12,0.00482989,0.00987355,0.00596508,12.6135,0
dls,0.0001,61,0.122,0.00487621,0.00996385,0.00604871,12.6133,0
dls,0.0001,62,0.124,0.00492162,0.0100522,0.00613185,12.6132,0
dls,0.0001,63,0.126,0.00496614,0.0101386,0.00621453,12.6132,0
dls,0.0001,64,0.128,0.00500979,0.0102231,0.00629674,12.6131,0
dls,0.0001,65,0.13,0.00505259,0.0103058,0.00637851,12.6131,0
dls,0.0001,66,0.132,0.00509456,0.0103867,0.00645984,12.6131,0
dls,0.0001,67,0.134,0.00513572,0.0104658,0.00654074,12.613,0
dls,0.0001,68,0.136,0.00517608,0.0105432,0.00662121,12.6131,0
dls,0.0001,69,0.138,0.00521567,0.0106189,0.00670128,12.6131,0
dls,0.0001,70,0.14,0.00525449,0.010693,0.00678095,12.6131,0
dls,0.0001,71,0.142,0.00529258,0.0107654,0.00686023,12.6132,0
dls,0.0001,72,0.144,0.00532993,0.0108363,0.00693912,12.6133,0
dls,0.0001,73,0.146,0.00536658,0.0109056,0.00701764,12.6134,0
dls,0.0001,74,0.148,0.00540254,0.0109734,0.0070958,12.6135,0
dls,0.0001,75,0.15,0.00543782,0.0110397,0.00717359,12.6136,0
dls,0.0001,76,0.152,0.00547244,0.0111046,0.00725104,12.6138,0
dls,0.0001,77,0.154,0.00550641,0.0111681,0.00732814,12.614,0
dls,0.0001,78,0.156,0.00553975,0.0112302,0.00740491,12.6142,0
dls,0.0001,79,0.158,0.00557247,0.0112909,0.00748136,12.6144,0
dls,0.0001,80,0.16,0.00560459,0.0113503,0.00755748,12.6146,0
dls,0.0001,81,0.162,0.00563612,0.0114085,0.00763329,12.6148,0
dls,0.0001,82,0.164,0.00566707,0.0114653,0.0077088,12.6151,0
dls,0.0001,83,0.166,0.00569745,0.0115209,0.007784,12.6153,0
dls,0.0001,84,0.168,0.00572729,0.0115753,0.00785891,12.6156,0
dls,0.0001,85,0.17,0.00575659,0.0116286,0.00793354,12.6159,0
dls,0.0001,86,0.172,0.00578536,0.0116806,0.00800788,12.6162,0
dls,0.0001,87,0.174,0.00581362,0.0117316,0.00808196,12.6166,0
dls,0.0001,88,0.176,0.00584137,0.0117814,0.00815576,12.6169,0
dls,0.0001,89,0.178,0.00586864,0.0118301,0.0082293,12.6173,0
dls,0.0001,90,0.18,0.00589542,0.0118778,0.00830259,12.6177,0
dls,0.0001,91,0.182,0.00592174,0.0119245,0.00837562,12.6181,0
dls,0.0001,92,0.184,0.0059476,0.0119701,0.00844841,12.6185,0
dls,0.0001,93,0.186,0.00597301,0.0120147,0.00852096,12.6189,0
dls,0.0001,94,0.188,0.00599798,0.0120584,0.00859327,12.6194,0
dls,0.0001,95,0.19,0.00602253,0.0121011,0.00866535,12.6198,0
dls,0.0001,96,0.192,0.00604666,0.0121429,0.00873721,12.6203,0
dls,0.0001,97,0.194,0.00607038,0.0121838,0.00880885,12.6208,0
dls,0.0001,98,0.196,0.0060937,0.0122238,0.00888027,12.6213,0
dls,0.0001,99,0.198,0.00611663,0.012263,0.00895148,12.6218,0
dls,0.0001,100,0.2,0.00613919,0.0123012,0.00902248,12.6224,0
dls,0.0001,101,0.202,0.00616137,0.0123387,0.00909328,12.6229,0
dls,0.0001,102,0.204,0.00618319,0.0123753,0.00916388,12.6235,0
dls,0.0001,103,0.206,0.00620465,0.0124112,0.00923429,12.6241,0
dls,0.0001,104,0.208,0.00622577,0.0124463,0.00930451,12.6247,0
dls,0.0001,105,0.21,0.00624655,0.0124806,0.00937454,12.6253,0
dls,0.0001,106,0.212,0.006267,0.0125141,0.00944439,12.6259,0
dls,0.0001,107,0.214,0.00628712,0.012547,0.00951407,12.6266,0
dls,0.0001,108,0.216,0.00630693,0.0125791,0.00958356,12.6272,0
dls,0.0001,109,0.218,0.00632643,0.0126105,0.00965289,12.6279,0
dls,0.0001,110,0.22,0.00634564,0.0126413,0.00972205,12.6286,0
dls,0.0001,111,0.222,0.00636454,0.0126714,0.00979105,12.6293,0
dls,0.0001,112,0.224,0.00638316,0.0127008,0.00985988,12.63,0
dls,0.0001,113,0.226,0.0064015,0.0127296,0.00992856,12.6308,0
dls,0.0001,114,0.228,0.00641957,0.0127578,0.00999708,12.6315,0
dls,0.0001,115,0.23,0.00643737,0.0127854,0.0100655,12.6323,0
dls,0.0001,116,0.232,0.00645491,0.0128124,0.0101337,12.633,0
dls,0.0001,117,0.234,0.00647219,0.0128388,0.0102018,12.6338,0
dls,0.0001,118,0.236,0.00648922,0.0128646,0.0102697,12.6347,0
