damping,rms_position_error_kn0,rms_position_error_kn5,clipped_steps_kn0,clipped_steps_kn5,peak_condition_number_kn0,peak_condition_number_kn5
1e-06,0.0145190257580019,0.014522028583364129,12,12.0,40568.5,41047.4
1e-05,0.0145190087915663,0.014519023597998231,12,12.0,40471.5,37078.3
0.0001,0.0145123053991103,0.012072643867125874,12,8.0,32681.1,57303.3
0.0003,0.0136394373035088,0.009113125180791088,10,0.0,12978.8,4538.99
0.0005,0.1758022711250864,0.008862288079902348,1145,0.0,128652.0,917.566
0.001,0.1757222888754677,0.008882554856566317,1140,0.0,693352.0,260.239
0.003,0.175376811567896,0.009054629360521807,1140,0.0,1572330.0,89.5941
0.005,0.17482990667569,0.009384467956635913,1140,0.0,1572210.0,62.4781
0.007,0.0088692533314479,0.00987622910566341,0,0.0,2279.73,50.1927
0.01,0.0088845650904487,0.01089862492169731,0,0.0,580.4,40.2926
0.1,0.0120204851859131,0.0487030795715125,0,0.0,56.6736,14.6309
